交易日期,时间戳,选股器名称,选股器类型,股票代码,股票名称,所属行业,市场,总市值,连续天数
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000025.SZ,特力A,综合类,主板,735385.4939,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600689.SH,上海三毛,综合类,主板,265710.5554,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600724.SH,宁波富达,综合类,主板,685044.2677,1
2025/9/19,20250919_164140,TePu战法,BreakoutVolumeKDJSelector,600689.SH,上海三毛,综合类,主板,265710.5554,1
2025/9/19,20250919_164140,补票战法,BBIShortLongSelector,605287.SH,德才股份,装修装饰,主板,219380,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002595.SZ,豪迈科技,专用机械,主板,4551200,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002691.SZ,冀凯股份,专用机械,主板,293080,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002786.SZ,银宝山新,专用机械,主板,491647.104,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603396.SH,金辰股份,专用机械,主板,390508.9605,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,603396.SH,金辰股份,专用机械,主板,390508.9605,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000538.SZ,云南白药,中成药,主板,9972243.688,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600976.SH,健民集团,中成药,主板,635837.197,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002078.SZ,太阳纸业,造纸,主板,4105172.09,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,003006.SZ,百亚股份,造纸,主板,1149307.838,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,603733.SH,仙鹤股份,造纸,主板,1704226.339,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600130.SH,*ST波导,元器件,主板,260250,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000665.SZ,湖北广电,影视音像,主板,685701.1455,2
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601658.SH,邮储银行,银行,主板,72297222.2,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000411.SZ,英特集团,医药商业,主板,589216.6427,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002950.SZ,奥美医疗,医疗保健,主板,614267.4448,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603987.SH,康德莱,医疗保健,主板,403157.9822,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,603987.SH,康德莱,医疗保健,主板,403157.9822,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000537.SZ,中绿电,新型电力,主板,1816543.467,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600821.SH,金开新能,新型电力,主板,1118467.534,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000960.SZ,锡业股份,小金属,主板,3044733.611,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002167.SZ,东方锆业,小金属,主板,1011723.33,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002978.SZ,安宁股份,小金属,主板,1408890.025,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600301.SH,华锡有色,小金属,主板,1444151.555,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600459.SH,贵研铂业,小金属,主板,1189861.747,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600549.SH,厦门钨业,小金属,主板,3757815.65,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601958.SH,金钼股份,小金属,主板,4184905.907,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603663.SH,三祥新材,小金属,主板,1123014.237,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600679.SH,上海凤凰,文教休闲,主板,662153.1202,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002231.SZ,*ST奥维,通信设备,主板,123131.756,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601333.SH,广深铁路,铁路,主板,2117977.563,1
2025/9/19,20250919_164140,TePu战法,BreakoutVolumeKDJSelector,601333.SH,广深铁路,铁路,主板,2117977.563,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603212.SH,赛伍技术,塑料,主板,495239.4,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600428.SH,中远海特,水运,主板,1841170.585,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603162.SH,海通发展,水运,主板,811409.9839,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603565.SH,中谷物流,水运,主板,2202966.195,1
2025/9/19,20250919_164140,TePu战法,BreakoutVolumeKDJSelector,603565.SH,中谷物流,水运,主板,2202966.195,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002233.SZ,塔牌集团,水泥,主板,1013433.764,1
2025/9/19,20250919_164140,填坑战法,PeakKDJSelector,002742.SZ,*ST三圣,水泥,主板,259200,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000895.SZ,双汇发展,食品,主板,8675511.677,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000972.SZ,*ST中基,食品,主板,287688.775,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002216.SZ,三全食品,食品,主板,985565.3178,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002702.SZ,海欣食品,食品,主板,248424.72,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600305.SH,恒顺醋业,食品,主板,873006.0356,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603043.SH,广州酒家,食品,主板,916289.7669,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603231.SH,索宝蛋白,食品,主板,334861.9746,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603237.SH,五芳斋,食品,主板,346547.2759,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603777.SH,来伊份,食品,主板,447459.5341,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603866.SH,桃李面包,食品,主板,886244.4119,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,605077.SH,华康股份,食品,主板,540941.0977,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,605338.SH,巴比食品,食品,主板,491830.3571,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002828.SZ,贝肯能源,石油开采,主板,213448.8312,1
