Timestamp,Open,High,Low,Close,Volume,Daily_increase
2010-12-31,0.30,0.30,0.30,0.30,435,0.00%
2010-12-30,0.30,0.30,0.30,0.30,762,0.00%
2010-12-29,0.30,0.30,0.30,0.30,"5,583",0.00%
2010-12-28,0.30,0.30,0.30,0.30,"4,632",0.00%
2010-12-27,0.30,0.30,0.30,0.30,"1,482",0.00%
2010-12-26,0.20,0.30,0.20,0.30,"4,977",50.00%
2010-12-25,0.20,0.30,0.20,0.20,140,0.00%
2010-12-24,0.30,0.30,0.20,0.20,"1,006",-33.33%
2010-12-23,0.30,0.30,0.20,0.30,"2,595",0.00%
2010-12-22,0.20,0.30,0.20,0.30,"1,140",50.00%
2010-12-21,0.30,0.30,0.20,0.20,"1,846",-33.33%
2010-12-20,0.20,0.30,0.20,0.30,"3,204",50.00%
2010-12-19,0.20,0.20,0.20,0.20,400,0.00%
2010-12-18,0.20,0.20,0.20,0.20,34,0.00%
2010-12-17,0.30,0.20,0.20,0.20,106,-33.33%
2010-12-16,0.20,0.30,0.20,0.30,"4,308",50.00%
2010-12-15,0.20,0.20,0.20,0.20,738,0.00%
2010-12-14,0.20,0.20,0.20,0.20,"2,078",0.00%
2010-12-13,0.20,0.20,0.20,0.20,"1,284",0.00%
2010-12-12,0.20,0.20,0.20,0.20,392,0.00%
2010-12-11,0.20,0.20,0.20,0.20,"1,158",0.00%
2010-12-10,0.20,0.20,0.20,0.20,336,0.00%
2010-12-09,0.20,0.20,0.20,0.20,"4,268",0.00%
2010-12-08,0.20,0.20,0.20,0.20,686,0.00%
2010-12-07,0.20,0.20,0.20,0.20,"4,918",0.00%
2010-12-06,0.20,0.20,0.20,0.20,864,0.00%
2010-12-05,0.20,0.20,0.20,0.20,"1,148",0.00%
2010-12-04,0.30,0.30,0.20,0.20,"5,712",-33.33%
2010-12-03,0.30,0.30,0.20,0.30,771,0.00%
2010-12-02,0.20,0.30,0.20,0.30,"6,093",50.00%
2010-12-01,0.20,0.20,0.20,0.20,"1,632",0.00%
2010-11-30,0.20,0.20,0.20,0.20,"4,296",0.00%
2010-11-29,0.30,0.30,0.20,0.20,"7,012",-33.33%
2010-11-28,0.30,0.30,0.30,0.30,"6,240",0.00%
2010-11-27,0.30,0.30,0.30,0.30,549,0.00%
2010-11-26,0.30,0.30,0.30,0.30,"10,059",0.00%
2010-11-25,0.30,0.30,0.30,0.30,504,0.00%
2010-11-24,0.30,0.30,0.30,0.30,756,0.00%
2010-11-23,0.30,0.30,0.30,0.30,"1,458",0.00%
2010-11-22,0.30,0.30,0.30,0.30,"8,463",0.00%
2010-11-21,0.30,0.30,0.30,0.30,231,0.00%
2010-11-20,0.30,0.30,0.30,0.30,"4,395",0.00%
2010-11-19,0.30,0.30,0.30,0.30,648,0.00%
2010-11-18,0.20,0.30,0.20,0.30,"11,235",50.00%
2010-11-17,0.20,0.30,0.20,0.20,"6,574",0.00%
2010-11-16,0.30,0.30,0.20,0.20,"6,786",-33.33%
2010-11-15,0.30,0.30,0.30,0.30,"2,553",0.00%
2010-11-14,0.30,0.30,0.30,0.30,"5,052",0.00%
2010-11-13,0.30,0.30,0.30,0.30,"6,576",0.00%
2010-11-12,0.20,0.30,0.20,0.30,"12,216",50.00%
2010-11-11,0.20,0.20,0.20,0.20,"1,006",0.00%
2010-11-10,0.20,0.20,0.10,0.20,"6,078",0.00%
2010-11-09,0.20,0.30,0.20,0.20,"9,596",0.00%
2010-11-08,0.30,0.40,0.20,0.20,"23,640",-33.33%
2010-11-07,0.40,0.50,0.30,0.30,"23,166",-25.00%
2010-11-06,0.30,0.50,0.20,0.40,"13,104",33.33%
2010-11-05,0.20,0.30,0.20,0.30,"10,986",50.00%
2010-11-04,0.20,0.20,0.20,0.20,"5,940",0.00%
2010-11-03,0.20,0.30,0.10,0.20,"12,294",0.00%
2010-11-02,0.20,0.20,0.20,0.20,"1,170",0.00%
2010-11-01,0.20,0.20,0.20,0.20,"4,252",0.00%
2010-10-31,0.20,0.20,0.20,0.20,"8,068",0.00%
2010-10-30,0.20,0.20,0.20,0.20,"5,342",0.00%
2010-10-29,0.20,0.20,0.20,0.20,"5,738",0.00%
2010-10-28,0.20,0.20,0.20,0.20,"4,306",0.00%
2010-10-27,0.20,0.20,0.20,0.20,"13,122",0.00%
2010-10-26,0.10,0.20,0.10,0.20,"3,844",100.00%
2010-10-25,0.10,0.20,0.10,0.10,"3,030",0.00%
2010-10-24,0.10,0.20,0.10,0.10,"1,380",0.00%
2010-10-23,0.10,0.10,0.10,0.10,442,0.00%
2010-10-22,0.10,0.10,0.10,0.10,"3,460",0.00%
2010-10-21,0.10,0.10,0.10,0.10,"4,487",0.00%
2010-10-20,0.10,0.10,0.10,0.10,"3,186",0.00%
2010-10-19,0.10,0.10,0.10,0.10,624,0.00%
2010-10-18,0.10,0.10,0.10,0.10,"2,567",0.00%
2010-10-17,0.10,0.10,0.10,0.10,"1,822",0.00%
2010-10-16,0.10,0.10,0.10,0.10,629,0.00%
2010-10-15,0.10,0.10,0.10,0.10,"2,464",0.00%
2010-10-14,0.10,0.10,0.10,0.10,"3,722",0.00%
2010-10-13,0.10,0.10,0.10,0.10,"4,756",0.00%
2010-10-12,0.10,0.10,0.10,0.10,"2,566",0.00%
2010-10-11,0.10,0.10,0.10,0.10,"1,409",0.00%
2010-10-10,0.10,0.10,0.10,0.10,"5,068",0.00%
2010-10-09,0.10,0.10,0.10,0.10,"18,785",0.00%
2010-10-08,0.10,0.10,0.10,0.10,"13,929",0.00%
2010-10-07,0.10,0.10,0.10,0.10,"4,369",0.00%
2010-10-06,0.10,0.10,0.10,0.10,"3,343",0.00%
2010-10-05,0.10,0.10,0.10,0.10,"2,753",0.00%
2010-10-04,0.10,0.10,0.10,0.10,"3,400",0.00%
2010-10-03,0.10,0.10,0.10,0.10,717,0.00%
2010-10-02,0.10,0.10,0.10,0.10,"1,306",0.00%
2010-10-01,0.10,0.10,0.10,0.10,172,0.00%
2010-09-30,0.10,0.10,0.10,0.10,792,0.00%
2010-09-29,0.10,0.10,0.10,0.10,"2,348",0.00%
2010-09-28,0.10,0.10,0.10,0.10,709,0.00%
2010-09-27,0.10,0.10,0.10,0.10,"1,075",0.00%
2010-09-26,0.10,0.10,0.10,0.10,"1,206",0.00%
