date,interval,volume_with_sign,interval_start
2025-07-16,09:30-10:30,-881.9799999999999,09:30
2025-07-16,10:30-11:30,7313.469999999999,10:30
2025-07-16,13:00-14:00,-708.7499999999999,13:00
2025-07-16,14:00-15:00,3851.24,14:00
2025-07-17,09:30-10:30,619.74,09:30
2025-07-17,10:30-11:30,-1041.01,10:30
2025-07-17,13:00-14:00,878.97,13:00
2025-07-17,14:00-15:00,273.2100000000001,14:00
2025-07-18,09:30-10:30,-1732.45,09:30
2025-07-18,10:30-11:30,839.7,10:30
2025-07-18,13:00-14:00,-644.99,13:00
2025-07-18,14:00-15:00,318.06,14:00
2025-07-21,09:30-10:30,-635.5799999999999,09:30
2025-07-21,10:30-11:30,-5.519999999999982,10:30
2025-07-21,13:00-14:00,355.72,13:00
2025-07-21,14:00-15:00,1137.8600000000001,14:00
2025-07-22,09:30-10:30,-704.94,09:30
2025-07-22,13:00-14:00,-1880.6599999999999,13:00
2025-07-23,09:30-10:30,968.1099999999999,09:30
2025-07-23,10:30-11:30,369.12,10:30
2025-07-23,13:00-14:00,480.19,13:00
2025-07-23,14:00-15:00,-128.68,14:00
2025-07-24,09:30-10:30,3962.38,09:30
2025-07-24,10:30-11:30,954.0899999999999,10:30
2025-07-24,13:00-14:00,-147.18,13:00
2025-07-24,14:00-15:00,301.81,14:00
2025-07-25,09:30-10:30,7165.18,09:30
2025-07-25,10:30-11:30,393.81,10:30
2025-07-28,09:30-10:30,-264.16000000000014,09:30
2025-07-29,09:30-10:30,1615.51,09:30
2025-07-29,13:00-14:00,3478.3199999999997,13:00
2025-07-29,14:00-15:00,1416.67,14:00
